"cuota","linea","modelo","precioPublico","precioPublico70","derechoSuscripcion","iva","totalSuscripcion","cuotaPura","cargaAdminSuscripcion","iva21","cuotaMensual","30 adjudicacion","plan"
"84","Interurbanos","OF 1519-52 Euro V","3.376.657,28","2.363.660,09","47.273,20","9.927,37","57.200,57","28.138,81","3.376,66","709,10","32.482,36","1.012.997,18","Plan 70/30"
"84","Interurbanos","OF 1721-59 Euro V","3.612.238,02","2.528.566,61","50.571,33","10.619,98","61.191,31","30.101,98","3.612,24","758,57","34.748,57","1.083.671,40","Plan 70/30"
"84","Interurbanos","O500 M 1826 Euro V","4.397.507,15","3.078.255,01","61.565,10","12.928,67","74.493,77","36.645,89","4.397,51","923,48","42.302,61","1.319.252,15","Plan 70/30"
"84","Interurbanos","O500 U 1826 Euro V","4.495.665,79","3.146.966,05","62.939,32","13.217,26","76.156,58","37.463,88","4.495,67","944,09","43.246,87","1.348.699,74","Plan 70/30"
"84","Interurbanos","O500 R 1830 Euro V","4.554.560,98","3.188.192,68","63.763,85","13.390,41","77.154,26","37.954,67","4.554,56","956,46","43.813,42","1.366.368,29","Plan 70/30"
"84","Interurbanos","OF 1519-52 Euro V","3.376.657,28","3.376.657,28","67.533,15","14.181,96","81.715,11","40.198,30","4.823,80","1.013,00","46.403,37","","Plan 100%"
"84","Interurbanos","OF 1721-59 Euro V","3.612.238,02","3.612.238,02","72.244,76","15.171,40","87.416,16","43.002,83","5.160,34","1.083,67","49.640,82","","Plan 100%"
"84","Interurbanos","O500 M 1826 Euro V","4.397.507,15","4.397.507,15","87.950,14","18.469,53","106.419,67","52.351,28","6.282,15","1.319,25","60.432,30","","Plan 100%"
"84","Interurbanos","O500 U 1826 Euro V","4.495.665,79","4.495.665,79","89.913,32","18.881,80","108.795,11","53.519,83","6.422,38","1.348,70","61.781,24","","Plan 100%"
"84","Interurbanos","O500 R 1830 Euro V","4.554.560,98","4.554.560,98","91.091,22","19.129,16","110.220,38","54.220,96","6.506,52","1.366,37","62.590,60","","Plan 100%"
"84","Midibus","LO 916-45 Euro V","2.100.594,93","1.470.416,45","29.408,33","6.175,75","35.584,08","17.504,96","2.100,59","441,12","20.207,05","630.178,48","Plan 70/30"
"84","Midibus","LO 916-45 Euro V","2.100.594,93","2.100.594,93","42.011,90","8.822,50","50.834,40","25.007,08","3.000,85","630,18","28.867,22","","Plan 100%"
"84","Plataformas con motor electrónico","O500 RSD 2436 Euro V","5.430.136,06","3.801.095,24","76.021,90","15.964,60","91.986,50","45.251,13","5.430,14","1.140,33","52.236,17","1.629.040,82","Plan 70/30"
"84","Plataformas con motor electrónico","O500 RSD 2436 Euro V","5.430.136,06","5.430.136,06","108.602,72","22.806,57","131.409,29","64.644,48","7.757,34","1.629,04","74.623,10","","Plan 100%"
"84","Urbanos","OH 1621/55 Euro V","4.002.311,55","2.801.618,08","56.032,36","11.766,80","67.799,16","33.352,60","4.002,31","840,49","38.500,96","1.200.693,46","Plan 70/30"
"84","Urbanos","OH 1721/62 Euro V","4.081.565,24","2.857.095,67","57.141,91","11.999,80","69.141,72","34.013,04","4.081,57","857,13","39.263,35","1.224.469,57","Plan 70/30"
"84","Urbanos","OH 1621/55 Euro V","4.002.311,55","4.002.311,55","80.046,23","16.809,71","96.855,94","47.646,57","5.717,59","1.200,69","55.001,37","","Plan 100%"
"84","Urbanos","OH 1721/62 Euro V","4.081.565,24","4.081.565,24","81.631,30","17.142,57","98.773,88","48.590,06","5.830,81","1.224,47","56.090,50","","Plan 100%"
