"cuota","linea","modelo","precioPublico","precioPublico70","derechoSuscripcion","iva","totalSuscripcion","cuotaPura","cargaAdminSuscripcion","iva21","cuotaMensual","30 adjudicacion","plan"
"72","Furgón","Sprinter 411CDI Street Furgón 3250 TN Versión 1 con Aire Acondicionado","908.500,00","635.950,00","12.719,00","2.670,99","15.389,99","8.832,64","1.059,92","222,58","10.115,14","272.550,00","Plan 70/30"
"72","Furgón","Sprinter 411CDI Street Furgón 3250 TN Versión 2 con Aire Acondicionado","919.080,00","643.356,00","12.867,12","2.702,10","15.569,22","8.935,50","1.072,26","225,17","10.232,93","275.724,00","Plan 70/30"
"72","Furgón","Sprinter 415 CDI Furgón 3250 TN Versión 1 con Aire Acondicionado","1.060.990,00","742.693,00","14.853,86","3.119,31","17.973,17","10.315,18","1.237,82","259,94","11.812,94","318.297,00","Plan 70/30"
"72","Furgón","Sprinter 415 CDI Furgón 3250 TN Mixto 4+1 con Aire Acondicionado","1.083.990,00","758.793,00","15.175,86","3.186,93","18.362,79","10.538,79","1.264,65","265,58","12.069,02","325.197,00","Plan 70/30"
"72","Furgón","Sprinter 415 CDI Furgón 3250 TN Versión 2 con Aire Acondicionado","1.073.870,00","751.709,00","15.034,18","3.157,18","18.191,36","10.440,40","1.252,85","263,10","11.956,35","322.161,00","Plan 70/30"
"72","Furgón","Sprinter 415 CDI Furgón 3665 TN Versión 1 con Aire Acondicionado","1.137.350,00","796.145,00","15.922,90","3.343,81","19.266,71","11.057,57","1.326,91","278,65","12.663,13","341.205,00","Plan 70/30"
"72","Furgón","Sprinter 415 CDI Furgón 3665 TN Mixto 4+1 con Aire Acondicionado","1.169.320,00","818.524,00","16.370,48","3.437,80","19.808,28","11.368,39","1.364,21","286,48","13.019,08","350.796,00","Plan 70/30"
"72","Furgón","Sprinter 415 CDI Furgón 3665 TN Versión 2 con Aire Acondicionado","1.149.540,00","804.678,00","16.093,56","3.379,65","19.473,21","11.176,08","1.341,13","281,64","12.798,85","344.862,00","Plan 70/30"
"72","Furgón","Sprinter 415 CDI Furgón 3665 TE Versión 1 con Aire Acondicionado","1.161.960,00","813.372,00","16.267,44","3.416,16","19.683,60","11.296,83","1.355,62","284,68","12.937,13","348.588,00","Plan 70/30"
"72","Furgón","Sprinter 415 CDI Furgón 3665 TE Mixto 4+1 con Aire Acondicionado","1.194.160,00","835.912,00","16.718,24","3.510,83","20.229,07","11.609,89","1.393,19","292,57","13.295,65","358.248,00","Plan 70/30"
"72","Furgón","Sprinter 415 CDI Furgón 3665 TE Versión 2 con Aire Acondicionado","1.171.850,00","820.295,00","16.405,90","3.445,24","19.851,14","11.392,99","1.367,16","287,10","13.047,25","351.555,00","Plan 70/30"
"72","Furgón","Sprinter 415 CDI Furgón 4325 TE Versión 2 con Aire Acondicionado","1.309.390,00","916.573,00","18.331,46","3.849,61","22.181,07","12.730,18","1.527,62","320,80","14.578,60","392.817,00","Plan 70/30"
"72","Furgón","Sprinter 515 CDI Furgón 4325 TE Versión 2 con Aire Acondicionado","1.355.620,00","948.934,00","18.978,68","3.985,52","22.964,20","13.179,64","1.581,56","332,13","15.093,33","406.686,00","Plan 70/30"
"72","Furgón","Sprinter 515 CDI Furgón 4325 XL TE Versión 2 con Aire Acondicionado","1.388.740,00","972.118,00","19.442,36","4.082,90","23.525,26","13.501,64","1.620,20","340,24","15.462,08","416.622,00","Plan 70/30"
"72","Combi","Sprinter 415 CDI Combi 3665 9+1 TN","1.429.910,00","1.000.937,00","20.018,74","4.203,94","24.222,68","13.901,90","1.668,23","350,33","15.920,46","428.973,00","Plan 70/30"
"72","Combi","Sprinter 415 CDI Combi 3665 15+1 TE","1.408.750,00","986.125,00","19.722,50","4.141,73","23.864,23","13.696,18","1.643,54","345,14","15.684,86","422.625,00","Plan 70/30"
"72","Combi","Sprinter 515 CDI Combi 4325 19+1","1.735.810,00","1.215.067,00","24.301,34","5.103,28","29.404,62","16.875,93","2.025,11","425,27","19.326,31","520.743,00","Plan 70/30"
"72","Chasis Cabina","Sprinter 415 CDI Chasis 3665 con Aire Acondicionado","937.480,00","656.236,00","13.124,72","2.756,19","15.880,91","9.114,39","1.093,73","229,68","10.437,80","281.244,00","Plan 70/30"
"72","Chasis Cabina","Sprinter 515 CDI Chasis 4325 con Aire Acondicionado","1.024.650,00","717.255,00","14.345,10","3.012,47","17.357,57","9.961,88","1.195,43","251,04","11.408,35","307.395,00","Plan 70/30"
