"cuota","linea","modelo","precioPublico","precioPublico70","derechoSuscripcion","iva","totalSuscripcion","cuotaPura","cargaAdminSuscripcion","iva21","cuotaMensual","pagoAdjudicacion30","Plan ","Producto","Imagen"
"84","Livianos","Accelo 815/37","2044668,13","1431267,69","28625,35","6011,32","34636,67","17038,9","2044,67","429,38","19669,05","613400,44","Plan 70/30","Accelo 815","accelo-815.jpg"
"84","Livianos","Accelo 1016/37","2225691","1557983,7","31159,67","6543,53","37703,2","18547,43","2225,69","467,39","21410,43","667707,3","Plan 70/30","Accelo 1016","accelo-1016.jpg"
"84","Medianos","Atego 1419/48","2775189,378","1942632,56","38852,65","8159,06","47011,71","23126,58","2775,19","582,79","26696,44","832556,81","Plan 70/30","Atego","atego-1419.jpg"
"84","Semipesados","Atego 1720/36 CN","2910214,632","2037150,24","40743","8556,03","49299,03","24251,79","2910,21","611,14","27995,33","873064,39","Plan 70/30","Atego","atego-1720-36.jpg"
"84","Semipesados ","Atego 1720/48 CN","2936428,326","2055499,83","41110","8633,1","49743,1","24470,24","2936,43","616,65","28247,51","880928,5","Plan 70/30","Atego","atego-1721.jpg"
"84","Semipesados","Atego 1726 S/36 CN con ABS","3267314,388","2287120,07","45742,4","9605,9","55348,3","27227,62","3267,31","686,14","31430,52","980194,32","Plan 70/30","Atego","atego-1726-36.jpg"
"84","Semipesados","Atego 1726 S/36 CD con ABS","3405307,23","2383715,06","47674,3","10011,6","57685,9","28377,56","3405,31","715,12","32757,97","1021592,17","Plan 70/30","Atego","atego-1726-36.jpg"
"84","Semipesados","Atego 1726/42 CN","3211919,412","2248343,59","44966,87","9443,04","54409,91","26766","3211,92","674,5","30897,64","963575,82","Plan 70/30","Atego","atego-1626-42.jpg"
"84","Semipesados","Atego 1726/42 CD","3351890,646","2346323,45","46926,47","9854,56","56781,03","27932,42","3351,89","703,9","32244,12","1005567,19","Plan 70/30","Atego","atego-1726-42.jpg"
"84","Semipesados","Atego 1726/48 CN","3246541,272","2272578,89","45451,58","9544,83","54996,41","27054,51","3246,54","681,77","31230,68","973962,38","Plan 70/30","Atego","atego-1726-42.jpg"
"84","Semipesados","Atego 2426/48","3752020,428","2626414,3","52528,29","11030,94","63559,23","31266,84","3752,02","787,92","36093,23","1125606,13","Plan 70/30","Atego","atego-1726.jpg"
"84","Semipesados","Atego 1726 A/42 4x4 Cab Ext Version Civil","4814911,53","3370438,07","67408,76","14155,84","81564,6","40124,26","4814,91","1011,13","46317,9","1444473,46","Plan 70/30","Atego","atego-1726-42.jpg"
"84","Semipesados","Atego 1726 S/36 CD TE","3439434,492","2407604,14","48152,08","10111,94","58264,02","28661,95","3439,43","722,28","33086,25","1031830,35","Plan 70/30","Atego","atego-1726-36.jpg"
"84","Semipesados","Atego 1726/42 CD TE","3386017,908","2370212,54","47404,25","9954,89","57359,14","28216,82","3386,02","711,06","32572,41","1015805,37","Plan 70/30","Atego","atego-1726-42.jpg"
"84","Semipesados","Atego 1726/48 CD TE","3420639,768","2394447,84","47888,96","10056,68","57945,64","28505,33","3420,64","718,33","32905,45","1026191,93","Plan 70/30","Atego","atego-1726-42.jpg"
"84","Pesados On Road","Atron 1735S/45","4385105,868","3069574,11","61391,48","12892,21","74283,69","36542,55","4385,11","920,87","42183,32","1315531,76","Plan 70/30","Atron","atron-1735.jpg"
