"cuota","linea","modelo","precio publico","precio publico plan","derecho Suscripcion","iva","total Suscripcion","cuota Pura","carga Admin Suscripcion","iva21","cuota Mensual","pago Adjudicacion 30", "Plan","Producto","Imagen"
"84","Livianos","Accelo 815/37","2044668,132","2044668,132","40893,36","8587,61","49480,97","24341,29","2920,95","613,4","28098,65","0","Plan 100%","Accelo 815","{filedir_4}accelo-815.jpg"
"84","Livianos","Accelo 1016/37","2225691","2225691","44513,82","9347,9","53861,72","26496,32","3179,56","667,71","30586,34","0","Plan 100%","Accelo 815","{filedir_4}accelo-815.jpg"
"84","Medianos","Atego 1419/48","2775189,378","2775189,378","55503,79","11655,8","67159,59","33037,97","3964,56","832,56","38137,77","0","Plan 100%","Atego","{filedir_4}atego-1419.jpg"
"84","Semipesados","Atego 1720/36 CN","2910214,632","2910214,632","58204,29","12222,9","70427,19","34645,41","4157,45","873,06","39993,33","0","Plan 100%","Atego","{filedir_4}atego-1721.jpg"
"84","Semipesados","Atego 1720/48 CN","2936428,326","2936428,326","58728,57","12333","71061,57","34957,48","4194,9","880,93","40353,58","0","Plan 100%","Atego","{filedir_4}atego-1721.jpg"
"84","Semipesados","Atego 1726 S/36 CN con ABS","3267314,388","3267314,388","65346,29","13722,72","79069,01","38896,6","4667,59","980,19","44900,74","0","Plan 100%","Atego","{filedir_4}atego-1726-36.jpg"
"84","Semipesados","Atego 1726 S/36 CD con ABS","3405307,23","3405307,23","68106,14","14302,29","82408,43","40539,37","4864,72","1021,59","46797,09","0","Plan 100%","Atego","{filedir_4}atego-1726-36.jp"
"84","Semipesados","Atego 1726/42 CN","3211919,412","3211919,412","64238,39","13490,06","77728,45","38237,14","4588,46","963,58","44139,49","0","Plan 100%","Atego","{filedir_4}atego-1726-42.jpg"
"84","Semipesados","Atego 1726/42 CD","3351890,646","3351890,646","67037,81","14077,94","81115,75","39903,46","4788,42","1005,57","46063,03","0","Plan 100%","Atego","{filedir_4}atego-1726-42.jpg"
"84","Semipesados","Atego 1726/48 CN","3246541,272","3246541,272","64930,83","13635,47","78566,3","38649,3","4637,92","973,96","44615,27","0","Plan 100%","Atego","{filedir_4}atego-1726-42.jpg"
"84","Semipesados","Atego 2426/48","3752020,428","3752020,428","75040,41","15758,49","90798,9","44666,91","5360,03","1125,61","51561,77","0","Plan 100%","Atego","{filedir_4}atego-1726-42.jpg"
"84","Semipesados","Atego 1726 A/42 4x4 Cab Ext Versión Civil","4814911,53","4814911,53","96298,23","20222,63","116520,86","57320,38","6878,45","1444,47","66168,45","0","Plan 100%","Atego","{filedir_4}atego-1726-42.jpg"
"84","Semipesados","Atego 1726 S/36 CD TE","3439434,492","3439434,492","68788,69","14445,62","83234,31","40945,65","4913,48","1031,83","47266,09","0","Plan 100%","Atego","{filedir_4}atego-1726-36.jpg"
"84","Semipesados","Atego 1726/42 CD TE","3386017,908","3386017,908","67720,36","14221,28","81941,64","40309,74","4837,17","1015,81","46532,02","0","Plan 100%","Atego","{filedir_4}atego-1726-42.jpg"
"84","Semipesados","Atego 1726/48 CD TE","3420639,768","3420639,768","68412,8","14366,69","82779,49","40721,9","4886,63","1026,19","47007,8","0","Plan 100%","Atego","{filedir_4}atego-1726-42.jpg"
"84","Pesados On Road","Atron 1735S/45","4385105,868","4385105,868","87702,12","18417,45","106119,57","52203,64","6264,44","1315,53","60261,88","0","Plan 100%","Atron","{filedir_4}atron-1735.jpg"
